"","x","y","year","month","chl_simple","chl_bilin","jday","chl_shape"
"1",-69,42,"2002","05",2.02662301063538,1.98988048410425,"73900",1.19569863927992
"2",-69,42,"2002","06",0.848528444766998,0.830964812333379,"73931",1.34281972181379
"3",-69,42,"2002","07",0.551433682441711,0.565103951849827,"73961",1.7581770794782
"4",-69,42,"2002","08",0.569228887557983,0.626354039044705,"73992",1.34453033215818
"5",-69,42,"2002","09",0.739564061164856,0.763496241396226,"74023",1.06560908667525
"6",-69,42,"2002","10",1.06712651252747,1.14968121256578,"74053",1.24260123535904
"7",-69,42,"2002","11",0.755418241024017,0.76510048758404,"74084",1.70680721914559
"8",-69,42,"2002","12",0.631133377552032,0.617807063608853,"74114",1.48978321925241
"9",-69,42,"2003","01",0.355136811733246,0.401284039950178,"74145",1.73871338175751
"10",-69,42,"2003","02",0.478711485862732,0.536306409228514,"74176",1.25858367657104
"11",-69,42,"2003","03",0.616862118244171,0.609503595563024,"74204",1.99246122579128
"12",-69,42,"2003","04",1.49152684211731,1.44829516516097,"74235",1.67887456584395
"13",-69,42,"2003","05",1.564812541008,1.41670921340103,"74265",1.13107784467134
"14",-69,42,"2003","06",0.781484007835388,0.712739844245676,"74296",1.01950630231907
"15",-69,42,"2003","07",0.499211817979813,0.508904864098776,"74326",1.2840430804512
"16",-69,42,"2003","08",0.51554924249649,0.538423732698551,"74357",1.37210950586531
"17",-69,42,"2003","09",0.444400548934937,0.44308925946392,"74388",1.10653145123295
"18",-69,42,"2003","10",0.723317086696625,0.769556012589195,"74418",1.00966319546365
"19",-69,42,"2003","11",0.670387983322144,0.697397288115408,"74449",1.46172773663761
"20",-69,42,"2003","12",0.68331903219223,0.69041190019017,"74479",1.73778786715011
"21",-69,42,"2004","01",0.669133007526398,0.685870893795087,"74510",1.94542353752761
"22",-69,42,"2004","02",0.457336902618408,0.455339489972134,"74541",1.38360860647514
"23",-69,42,"2004","03",0.490054577589035,0.494166525412759,"74570",1.1095885237058
"24",-69,42,"2004","04",5.79075956344604,3.57203851773453,"74601",1.17595851595639
"25",-69,42,"2004","05",1.24539589881897,1.33334666976781,"74631",1.00477359064838
"26",-69,42,"2004","06",0.587267875671387,0.618597590341873,"74662",0.898666808305428
"27",-69,42,"2004","07",0.463384211063385,0.466817392553159,"74692",0.802563411624808
"28",-69,42,"2004","08",0.620367467403412,0.617462411468974,"74723",0.762093383666368
"29",-69,42,"2004","09",0.741291522979736,0.681251664893535,"74754",0.900653728703309
"30",-69,42,"2004","10",0.89183521270752,0.738663114147751,"74784",1.31923850133405
"31",-69,42,"2004","11",0.619288504123688,0.625737876505385,"74815",1.68135335780027
"32",-69,42,"2004","12",0.661668360233307,0.653955742695831,"74845",1.30928654280322
"33",-69,42,"2005","01",0.475491851568222,0.450390716541992,"74876",1.33439910498976
"34",-69,42,"2005","02",0.315519899129868,0.323875703269372,"74907",1.07848287134143
"35",-69,42,"2005","03",0.351380854845047,0.345042094471514,"74935",1.04336054056709
"36",-69,42,"2005","04",1.67439067363739,1.85683740329044,"74966",1.01330023010572
"37",-69,42,"2005","05",0.807768523693085,0.746230921098954,"74996",0.906283848989777
"38",-69,42,"2005","06",0.898473381996155,0.967157388921481,"75027",0.975238827585477
"39",-69,42,"2005","07",0.775133728981018,0.800074847226094,"75057",0.98419642430997
"40",-69,42,"2005","08",0.831145107746124,0.792632576992097,"75088",0.940398496493959
"41",-69,42,"2005","09",0.712850749492645,0.718835790047857,"75119",0.781358096857517
"42",-69,42,"2005","10",0.929857015609741,0.936231393234567,"75149",1.36561547524748
"43",-69,42,"2005","11",0.783986985683441,0.841631817717689,"75180",2.90564441053491
"44",-69,42,"2005","12",0.692891120910645,0.711921329982243,"75210",1.99539678696303
"45",-69,42,"2006","01",0.617937982082367,0.510891143606084,"75241",1.28205623734764
"46",-69,42,"2006","02",0.3022181391716,0.377820009691651,"75272",1.33225779122079
"47",-69,42,"2006","03",0.563930749893188,0.53700269942084,"75300",1.38529210027895
"48",-69,42,"2006","04",1.368896484375,1.53766266839653,"75331",1.04825080800475
"49",-69,42,"2006","05",0.986631989479065,1.03123109357913,"75361",1.00607823279866
"50",-69,42,"2006","06",0.667996466159821,0.679474619178857,"75392",1.09981088122429
"51",-69,42,"2006","07",0.509721994400024,0.583239894028718,"75422",1.09269320712103
"52",-69,42,"2006","08",0.800848424434662,0.781789405514299,"75453",1.16419550602199
"53",-69,42,"2006","09",0.790810942649841,0.820954820825701,"75484",1.09785443631529
"54",-69,42,"2006","10",1.02864825725555,1.05309451495233,"75514",1.29159092833424
"55",-69,42,"2006","11",0.958285570144653,1.03072205140382,"75545",1.44015382814128
"56",-69,42,"2006","12",0.587599098682404,0.565586382106639,"75575",1.179708876805
"57",-69,42,"2007","01",0.605728268623352,0.585523200494375,"75606",1.38347224533906
